"Qty";"Value";"Device";"Package";"Parts";"Description";"FARNELL";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"OV_FARNELL";"PACKAGE";"SUPPLIER";"VERSION";
"1";"";"520425-3";"520425-3";"RJ11";"AMP connector";"";"";"";"3938414";"";"";"";"";"";
"1";"";"BFR92-NPN-SOT23-BEC";"SOT23-BEC";"T1";"NPN Transistror";"";"";"";"1056520";"";"1056520RL";"";"";"";
"1";"";"F09HP";"F09HP";"RS232";"SUB-D";"";"";"";"1084701";"unknown";"";"";"";"";
"1";"";"PINHD-1X3";"1X03";"FREE";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"3";"0.01µF";"C-EUC0805";"C0805";"C1_PUSH, C2_PUSH, C3_PUSH";"CAPACITOR, European symbol";"";"";"";"1414662RL";"";"";"";"";"";
"13";"0.1µF";"C-EUC0805";"C0805";"C1+-, C2+-, CD_LCD, CD_MAX, CD_NAND, CV+, CV-, DC+LF, DC-LF, DC_IC5+, DC_IC5-, DC_PIC, DC_PIC1";"CAPACITOR, European symbol";"";"";"";"1414664";"";"";"";"";"";
"1";"057-016-1";"057-016-1";"057-016-1";"X2";"CONNECTOR";"";"";"";"8395934";"unknown";"";"";"";"";
"2";"100µF";"CPOL-EUE2,5-6E";"E2,5-6E";"C_ICL1, C_ICL3";"POLARIZED CAPACITOR, European symbol";"";"";"";"9452648";"";"";"";"";"";
"1";"10K";"R-EU_R0805";"R0805";"R_FILT";"RESISTOR, European symbol";"";"";"";"2129113";"";"";"";"";"";
"1";"10k";"R-EU_0204/7";"0204/7";"R_MCLR";"RESISTOR, European symbol";"";"";"";"9339060";"";"";"";"";"";
"2";"12K";"R-EU_M1406";"M1406";"R1, R9";"RESISTOR, European symbol";"";"";"";"3086203";"";"";"";"";"";
"1";"17K8";"R-EU_M0805";"M0805";"R5";"RESISTOR, European symbol";"";"";"";"1811059";"";"";"";"";"";
"4";"2.2µF";"CPOL-EUE1.8-4";"E1,8-4";"C_ICL2, C_ICL4, C_LPO1, C_LPO2";"POLARIZED CAPACITOR, European symbol";"";"";"";"8766983";"";"";"";"";"";
"1";"20K";"R-TRIMM3224X";"RTRIM3224X";"R4";"Trimm resistor";"";"";"";"988285";"";"";"";"";"";
"1";"22-23-2041";"22-23-2041";"22-23-2041";"X1";".100" (2.54mm) Center Header - 4 Pin";"";"MOLEX";"22-23-2041";"1462920+1462809+1462641";"38C0355";"";"";"";"";
"1";"22-27-2021-02";"22-27-2021-02";"6410-02";"POWER";"CONNECTOR";"143126+1654528+1462641";"";"";"143126+1654528+1462641";"unknown";"";"";"";"";
"1";"22-27-2021-02";"22-27-2021-02";"6410-02";"X3";"CONNECTOR";"";"";"";"143126+1654528+1462641";"unknown";"";"";"";"";
"2";"22pF";"C-EUC0805";"C0805";"C1Q, C2Q";"CAPACITOR, European symbol";"";"";"";"1856180RL";"";"";"";"";"";
"3";"22µF";"C-EUC1206";"C1206";"C_FILT, C_TSR1, C_TSR2";"CAPACITOR, European symbol";"";"";"";"499365";"";"";"";"";"";
"2";"2K";"R-EU_M1406";"M1406";"R8, R13";"RESISTOR, European symbol";"";"";"";"3086010";"";"";"";"";"";
"1";"2K";"R-TRIMM3224X";"RTRIM3224X";"R6";"Trimm resistor";"";"";"";"988250";"";"";"";"";"";
"1";"2K7";"R-EU_R0805";"R0805";"R_BUZZ";"RESISTOR, European symbol";"";"";"";"9339361";"";"";"";"";"";
"1";"32MHz";"CRYSTALHC49U-V";"HC49U-V";"CRYSTAL";"CRYSTAL";"";"";"";"1666969";"unknown";"";"";"";"";
"1";"330";"R-EU_0204/7";"0204/7";"R11";"RESISTOR, European symbol";"";"";"";"9339418";"";"";"";"";"";
"1";"4023D";"4023D";"SO14";"IC3";"Triple 3-input NAND";"";"";"";"1739904";"";"";"";"";"";
"1";"FRAME";"FRAME";"OPEN_TE_VERSION";"U$4";"";"";"";"";"";"";"";"";"";"1.0";
"1";"ICL7660ACPAZ";"ICL7660ACPAZ";"DIP254P762X533-8";"U2";"CMOS Voltage Converters";"";"";"ICL7660ACPAZ";"1562064";"79K6924";"";"PDIP-8";"INTERSIL";"";
"1";"KPEG242";"KPEG242";"KPEG242";"SP1";"";"";"";"";"1502726";"";"";"";"";"";
"1";"LF444CM";"LF444CM";"SO14";"IC6";"";"";"";"";"1564711";"";"";"";"";"";
"1";"LP2950CZ-5.0";"LP2950CZ-5.0";"TO92";"IC4";"Source: http://cache.national.com/ds/LP/LP2950.pdf";"";"";"";"9489479";"";"";"";"";"";
"1";"MAX232ECWES";"MAX232ECWES";"SO16";"IC2";"RS232 TRANSEIVER";"";"";"";"2511968";"";"";"";"";"";
"1";"OPA277U";"OPA277U";"SO08";"IC5";"High Precision OPERATIONAL AMPLIFIERS";"";"";"";"1097478";"";"";"";"";"";
"1";"PIC16F1937P";"PIC16F1937P";"DIL40";"IC7";"Flash-Based, 8-Bit CMOS Microcontrollers wtih LCD Driver and nanoWatt XLP Technology";"";"";"PIC16F1937-I/P";"1755825";"45P4774";"";"";"";"";
"1";"TSR_1-2465";"TSR_1-2465";"TSR-1";"U1";"TRACO TSR-1 Series";"";"";"";"2451541";"";"";"";"";"";
